period,year,month,cpi
1/1/1947,1947,1,21.48
2/1/1947,1947,2,21.620001
3/1/1947,1947,3,22
4/1/1947,1947,4,22
5/1/1947,1947,5,21.950001
6/1/1947,1947,6,22.08
7/1/1947,1947,7,22.23
8/1/1947,1947,8,22.4
9/1/1947,1947,9,22.84
10/1/1947,1947,10,22.91
11/1/1947,1947,11,23.059999
12/1/1947,1947,12,23.41
1/1/1948,1948,1,23.68
2/1/1948,1948,2,23.67
3/1/1948,1948,3,23.5
4/1/1948,1948,4,23.82
5/1/1948,1948,5,24.01
6/1/1948,1948,6,24.15
7/1/1948,1948,7,24.4
8/1/1948,1948,8,24.43
9/1/1948,1948,9,24.360001
10/1/1948,1948,10,24.309999
11/1/1948,1948,11,24.16
12/1/1948,1948,12,24.049999
1/1/1949,1949,1,24.01
2/1/1949,1949,2,23.91
3/1/1949,1949,3,23.91
4/1/1949,1949,4,23.92
5/1/1949,1949,5,23.91
6/1/1949,1949,6,23.92
7/1/1949,1949,7,23.700001
8/1/1949,1949,8,23.700001
9/1/1949,1949,9,23.75
10/1/1949,1949,10,23.67
11/1/1949,1949,11,23.700001
12/1/1949,1949,12,23.610001
1/1/1950,1950,1,23.51
2/1/1950,1950,2,23.610001
3/1/1950,1950,3,23.639999
4/1/1950,1950,4,23.65
5/1/1950,1950,5,23.77
6/1/1950,1950,6,23.879999
7/1/1950,1950,7,24.07
8/1/1950,1950,8,24.200001
9/1/1950,1950,9,24.34
10/1/1950,1950,10,24.5
11/1/1950,1950,11,24.6
12/1/1950,1950,12,24.98
1/1/1951,1951,1,25.379999
2/1/1951,1951,2,25.83
3/1/1951,1951,3,25.879999
4/1/1951,1951,4,25.92
5/1/1951,1951,5,25.99
6/1/1951,1951,6,25.93
7/1/1951,1951,7,25.91
8/1/1951,1951,8,25.860001
9/1/1951,1951,9,26.030001
10/1/1951,1951,10,26.16
11/1/1951,1951,11,26.32
12/1/1951,1951,12,26.469999
1/1/1952,1952,1,26.450001
2/1/1952,1952,2,26.41
3/1/1952,1952,3,26.389999
4/1/1952,1952,4,26.459999
5/1/1952,1952,5,26.469999
6/1/1952,1952,6,26.530001
7/1/1952,1952,7,26.68
8/1/1952,1952,8,26.690001
9/1/1952,1952,9,26.629999
10/1/1952,1952,10,26.690001
11/1/1952,1952,11,26.690001
12/1/1952,1952,12,26.709999
1/1/1953,1953,1,26.639999
2/1/1953,1953,2,26.59
3/1/1953,1953,3,26.629999
4/1/1953,1953,4,26.690001
5/1/1953,1953,5,26.700001
6/1/1953,1953,6,26.77
